#rmin_kpc rmax_kpc S Smin Smax
0 3.78156 8.47756 8.39217 8.56307
3.78156 7.56312 13.3979 13.2086 13.588
7.56312 11.3447 21.9142 21.316 22.5126
11.3447 15.1262 31.8362 31.2502 32.422
15.1262 18.9078 45.3034 43.6358 46.9715
18.9078 24.5801 72.0952 70.5555 73.633
24.5801 32.7735 104.098 102.853 105.342
32.7735 42.8577 172.351 167.81 176.886
42.8577 55.4629 187.283 182.192 192.378
55.4629 68.6983 196.601 191.261 201.968
68.6983 85.0851 134.935 132.095 137.717
85.0851 107.144 109.093 107.323 110.803
