#rmin_arcs rmax_arcs kT kT_min kT_max
0 24.65 0.820604 0.806834 0.835855
24.65 36.975 0.782745 0.766079 0.798963
36.975 49.3 0.832095 0.819353 0.844883
49.3 61.625 0.888449 0.872582 0.903827
61.625 76.415 0.915056 0.897808 0.931488
76.415 91.205 0.972089 0.956969 0.986911
91.205 108.46 0.999501 0.98642 1.01277
108.46 128.18 1.07628 1.06771 1.0853
128.18 150.365 1.08613 1.08062 1.09431
150.365 179.945 1.22294 1.20944 1.23654
179.945 219.385 1.23998 1.21879 1.25988
219.385 310.59 1.33634 1.33034 1.34218
