### Lovisari & Reiprich (2019)

0.007 0.624 0.37 0.879
0.022 0.578 0.316 0.84
0.043 0.534 0.307 0.761
0.072 0.472 0.278 0.667
0.112 0.392 0.256 0.529
0.168 0.309 0.212 0.406
0.25 0.211 0.124 0.299
0.425 0.226 0.154 0.298
1.025 0.256 0.191 0.32


### CHEERS (Mernier et al. 2017)

0.004 0.839 0.633 1.045
0.016 0.804 0.67 0.938
0.033 0.708 0.512 0.903
0.053 0.661 0.48 0.841
0.082 0.541 0.361 0.721
0.125 0.445 0.311 0.579
0.205 0.341 0.214 0.468
0.615 0.276 0.133 0.42


### Thoelken et al. (2016)

0.065 0.065 0.94 0.06 -0.06
0.195 0.065 0.47 0.14 -0.14
0.357 0.097 0.35 0.12 -0.1
0.584 0.13 0.41 0.22 -0.18
1.266 0.357 0.28 0.17 -0.11
1.915 0.292 0.39 0.29 -0.15


### Su et al. (2015)

0.155 0.155 0.749 0.056 -0.056
0.543 0.233 0.211 0.068 -0.068
1.397 0.621 0.168 0.043 -0.043


### Sasaki et al. (2014)

0.021 0.021 0.684 0.026 -0.026
0.063 0.022 0.672 0.027 -0.027
0.106 0.021 0.451 0.026 -0.026
0.158 0.032 0.373 0.025 -0.025
0.254 0.064 0.333 0.023 -0.023
0.422 0.105 0.295 0.032 -0.032
0.708 0.18 0.313 0.061 -0.061


### Sun (2012)

0.017 0.004 0.752 0.027 -0.027
0.026 0.006 0.686 0.021 -0.021
0.042 0.009 0.712 0.019 -0.019
0.066 0.015 0.602 0.016 -0.016
0.105 0.024 0.442 0.013 -0.013
0.167 0.038 0.376 0.01 -0.01
0.264 0.06 0.333 0.012 -0.012
0.421 0.096 0.148 0.009 -0.009
0.715 0.198 0.163 0.015 -0.015


