#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00 -0.71 -1.02 -0.24   18
-1.896e+00 -0.59 -0.90 -0.13   18
-1.792e+00 -0.47 -0.74 -0.15   18
-1.688e+00 -0.40 -0.58 -0.16   18
-1.584e+00 -0.33 -0.48 -0.10   18
-1.480e+00 -0.27 -0.45 -0.07   18
-1.376e+00 -0.26 -0.41 -0.09   18
-1.272e+00 -0.25 -0.41 -0.12   18
-1.168e+00 -0.24 -0.41 -0.12   18
-1.064e+00 -0.25 -0.41 -0.13   18
-9.600e-01 -0.25 -0.39 -0.13   18
-8.560e-01 -0.24 -0.38 -0.13   18
-7.520e-01 -0.24 -0.37 -0.13   18
-6.480e-01 -0.23 -0.36 -0.11   18
-5.440e-01 -0.20 -0.32 -0.09   18
-4.400e-01 -0.18 -0.24 -0.08   18
-3.360e-01 -0.13 -0.16 -0.07   18
-2.320e-01 -0.07 -0.11 -0.03   18
-1.280e-01 -0.01 -0.05  0.04   18
-2.400e-02  0.06  0.03  0.11   18
8.000e-02  0.15  0.11  0.20   18
1.840e-01  0.24  0.20  0.30   18
2.880e-01  0.35  0.31  0.40   18
3.920e-01  0.50  0.43  0.52   18
4.960e-01  0.65  0.54  0.70   18
6.000e-01  0.84  0.71  0.91   18
