#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00  1.56  1.25  1.96   18
-1.896e+00  1.65  1.20  1.80   18
-1.792e+00  1.46  1.16  1.68   18
-1.688e+00  1.43  1.11  1.62   18
-1.584e+00  1.32  1.09  1.57   18
-1.480e+00  1.30  1.03  1.48   18
-1.376e+00  1.22  1.01  1.38   18
-1.272e+00  1.15  0.94  1.32   18
-1.168e+00  1.10  0.86  1.22   18
-1.064e+00  1.03  0.79  1.18   18
-9.600e-01  0.94  0.72  1.11   18
-8.560e-01  0.86  0.63  1.01   18
-7.520e-01  0.78  0.55  0.88   18
-6.480e-01  0.66  0.46  0.75   18
-5.440e-01  0.52  0.36  0.62   18
-4.400e-01  0.36  0.25  0.46   18
-3.360e-01  0.15  0.09  0.29   18
-2.320e-01 -0.01 -0.09  0.09   18
-1.280e-01 -0.21 -0.28 -0.09   18
-2.400e-02 -0.46 -0.53 -0.30   18
8.000e-02 -0.73 -0.84 -0.64   18
1.840e-01 -1.06 -1.18 -0.96   18
2.880e-01 -1.38 -1.65 -1.25   18
3.920e-01 -1.75 -2.02 -1.42   18
4.960e-01 -2.11 -2.36 -1.62   18
6.000e-01 -2.36 -2.61 -1.87   18
