#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00  0.20  0.04  0.39   18
-1.896e+00  0.27  0.07  0.41   18
-1.792e+00  0.26  0.08  0.44   18
-1.688e+00  0.30  0.17  0.44   18
-1.584e+00  0.33  0.23  0.42   18
-1.480e+00  0.33  0.30  0.40   18
-1.376e+00  0.34  0.29  0.39   18
-1.272e+00  0.33  0.28  0.39   18
-1.168e+00  0.31  0.24  0.37   18
-1.064e+00  0.28  0.21  0.34   18
-9.600e-01  0.25  0.18  0.31   18
-8.560e-01  0.22  0.16  0.29   18
-7.520e-01  0.18  0.13  0.25   18
-6.480e-01  0.15  0.07  0.21   18
-5.440e-01  0.12  0.05  0.17   18
-4.400e-01  0.08  0.01  0.14   18
-3.360e-01  0.04 -0.04  0.09   18
-2.320e-01 -0.01 -0.10  0.05   18
-1.280e-01 -0.06 -0.16  0.01   18
-2.400e-02 -0.13 -0.20 -0.04   18
8.000e-02 -0.21 -0.29 -0.10   18
1.840e-01 -0.28 -0.38 -0.17   18
2.880e-01 -0.35 -0.48 -0.25   18
3.920e-01 -0.43 -0.59 -0.33   18
4.960e-01 -0.52 -0.65 -0.38   18
6.000e-01 -0.59 -0.71 -0.45   18
