#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00 -1.07  -inf -0.74   80
-1.896e+00 -0.75  -inf -0.35   80
-1.792e+00 -0.61  -inf -0.25   80
-1.688e+00 -0.34 -0.62 -0.04   80
-1.584e+00 -0.22 -0.40  0.08   80
-1.480e+00 -0.07 -0.25  0.15   80
-1.376e+00  0.00 -0.17  0.22   80
-1.272e+00  0.08 -0.13  0.29   80
-1.168e+00  0.13 -0.10  0.31   80
-1.064e+00  0.17 -0.08  0.34   80
-9.600e-01  0.21 -0.05  0.38   80
-8.560e-01  0.22 -0.02  0.39   80
-7.520e-01  0.21 -0.01  0.41   80
-6.480e-01  0.20  0.00  0.41   80
-5.440e-01  0.23  0.00  0.42   80
-4.400e-01  0.24  0.02  0.43   80
-3.360e-01  0.24  0.03  0.45   80
-2.320e-01  0.25  0.08  0.47   80
-1.280e-01  0.27  0.13  0.49   80
-2.400e-02  0.33  0.19  0.52   80
8.000e-02  0.40  0.28  0.54   80
1.840e-01  0.46  0.37  0.61   80
2.880e-01  0.57  0.47  0.69   80
3.920e-01  0.66  0.59  0.77   80
4.960e-01  0.78  0.70  0.87   80
6.000e-01  0.90  0.81  1.01   80
