#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00  0.46  -inf  1.19   80
-1.896e+00  0.63  -inf  1.12   80
-1.792e+00  0.67  -inf  1.04   80
-1.688e+00  0.67 -0.18  1.02   80
-1.584e+00  0.57 -0.05  0.93   80
-1.480e+00  0.52 -0.08  0.89   80
-1.376e+00  0.45 -0.11  0.80   80
-1.272e+00  0.41 -0.15  0.76   80
-1.168e+00  0.36 -0.19  0.70   80
-1.064e+00  0.29 -0.27  0.62   80
-9.600e-01  0.22 -0.31  0.54   80
-8.560e-01  0.13 -0.37  0.47   80
-7.520e-01  0.04 -0.42  0.38   80
-6.480e-01 -0.04 -0.47  0.27   80
-5.440e-01 -0.16 -0.58  0.15   80
-4.400e-01 -0.26 -0.69  0.04   80
-3.360e-01 -0.40 -0.78 -0.14   80
-2.320e-01 -0.52 -0.91 -0.29   80
-1.280e-01 -0.70 -1.08 -0.44   80
-2.400e-02 -0.87 -1.12 -0.65   80
8.000e-02 -1.07 -1.21 -0.68   80
1.840e-01 -1.31 -1.57 -0.95   80
2.880e-01 -1.54 -1.77 -1.03   80
3.920e-01 -1.75 -2.07 -1.13   80
4.960e-01 -1.84 -2.22 -1.38   80
6.000e-01 -1.91 -2.47 -1.18   80
