#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00 -0.26  -inf  0.06   80
-1.896e+00 -0.05  -inf  0.17   80
-1.792e+00 -0.02  -inf  0.26   80
-1.688e+00  0.14 -0.13  0.33   80
-1.584e+00  0.16 -0.03  0.38   80
-1.480e+00  0.19  0.02  0.42   80
-1.376e+00  0.22  0.06  0.43   80
-1.272e+00  0.24  0.10  0.42   80
-1.168e+00  0.23  0.11  0.41   80
-1.064e+00  0.21  0.10  0.39   80
-9.600e-01  0.22  0.09  0.36   80
-8.560e-01  0.21  0.07  0.33   80
-7.520e-01  0.18  0.06  0.29   80
-6.480e-01  0.16  0.03  0.25   80
-5.440e-01  0.12 -0.02  0.22   80
-4.400e-01  0.08 -0.06  0.18   80
-3.360e-01  0.03 -0.12  0.14   80
-2.320e-01 -0.02 -0.17  0.09   80
-1.280e-01 -0.07 -0.20  0.05   80
-2.400e-02 -0.13 -0.24 -0.00   80
8.000e-02 -0.20 -0.29 -0.05   80
1.840e-01 -0.24 -0.35 -0.11   80
2.880e-01 -0.31 -0.38 -0.18   80
3.920e-01 -0.36 -0.45 -0.25   80
4.960e-01 -0.40 -0.50 -0.31   80
6.000e-01 -0.46 -0.56 -0.32   80
