#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00 -0.45 -0.63 -0.25   35
-1.896e+00 -0.47 -0.67 -0.21   35
-1.792e+00 -0.39 -0.58 -0.18   35
-1.688e+00 -0.33 -0.51 -0.15   35
-1.584e+00 -0.26 -0.42 -0.10   35
-1.480e+00 -0.18 -0.32 -0.04   35
-1.376e+00 -0.11 -0.25  0.04   35
-1.272e+00 -0.08 -0.22  0.11   35
-1.168e+00 -0.05 -0.21  0.12   35
-1.064e+00 -0.02 -0.14  0.13   35
-9.600e-01 -0.02 -0.16  0.11   35
-8.560e-01 -0.00 -0.16  0.10   35
-7.520e-01  0.00 -0.16  0.09   35
-6.480e-01 -0.00 -0.16  0.07   35
-5.440e-01  0.01 -0.15  0.05   35
-4.400e-01  0.01 -0.14  0.06   35
-3.360e-01  0.01 -0.12  0.07   35
-2.320e-01  0.03 -0.07  0.09   35
-1.280e-01  0.06 -0.01  0.12   35
-2.400e-02  0.11  0.07  0.15   35
8.000e-02  0.18  0.15  0.22   35
1.840e-01  0.25  0.21  0.31   35
2.880e-01  0.34  0.24  0.39   35
3.920e-01  0.38  0.24  0.47   35
4.960e-01  0.42  0.20  0.60   35
6.000e-01  0.30  0.03  0.60   35
