#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00  1.29  1.01  1.62   35
-1.896e+00  1.27  1.12  1.59   35
-1.792e+00  1.27  1.08  1.59   35
-1.688e+00  1.27  1.08  1.49   35
-1.584e+00  1.26  1.08  1.49   35
-1.480e+00  1.24  0.99  1.48   35
-1.376e+00  1.15  0.91  1.40   35
-1.272e+00  1.08  0.87  1.26   35
-1.168e+00  0.99  0.78  1.13   35
-1.064e+00  0.87  0.71  0.99   35
-9.600e-01  0.76  0.63  0.90   35
-8.560e-01  0.67  0.54  0.83   35
-7.520e-01  0.60  0.44  0.73   35
-6.480e-01  0.50  0.34  0.65   35
-5.440e-01  0.43  0.26  0.51   35
-4.400e-01  0.29  0.12  0.36   35
-3.360e-01  0.13 -0.01  0.21   35
-2.320e-01 -0.06 -0.16  0.02   35
-1.280e-01 -0.27 -0.33 -0.20   35
-2.400e-02 -0.50 -0.54 -0.40   35
8.000e-02 -0.72 -0.83 -0.64   35
1.840e-01 -0.96 -1.12 -0.80   35
2.880e-01 -1.21 -1.45 -1.00   35
3.920e-01 -1.38 -1.71 -1.01   35
4.960e-01 -1.70 -2.13 -1.26   35
6.000e-01 -1.93 -3.08 -1.52   35
