#R/R500 median 16percentile 84percentile nhalos  
-2.000e+00  0.11 -0.07  0.44   35
-1.896e+00  0.13 -0.11  0.43   35
-1.792e+00  0.13 -0.05  0.42   35
-1.688e+00  0.15 -0.03  0.45   35
-1.584e+00  0.21  0.05  0.44   35
-1.480e+00  0.30  0.08  0.43   35
-1.376e+00  0.34  0.16  0.45   35
-1.272e+00  0.37  0.19  0.46   35
-1.168e+00  0.35  0.20  0.44   35
-1.064e+00  0.33  0.25  0.41   35
-9.600e-01  0.31  0.24  0.38   35
-8.560e-01  0.28  0.22  0.34   35
-7.520e-01  0.24  0.19  0.32   35
-6.480e-01  0.20  0.15  0.28   35
-5.440e-01  0.16  0.12  0.23   35
-4.400e-01  0.12  0.07  0.18   35
-3.360e-01  0.07  0.01  0.13   35
-2.320e-01  0.02 -0.04  0.08   35
-1.280e-01 -0.04 -0.09  0.02   35
-2.400e-02 -0.10 -0.16 -0.04   35
8.000e-02 -0.18 -0.23 -0.08   35
1.840e-01 -0.24 -0.34 -0.11   35
2.880e-01 -0.30 -0.43 -0.16   35
3.920e-01 -0.40 -0.51 -0.24   35
4.960e-01 -0.53 -0.64 -0.32   35
6.000e-01 -0.63 -0.86 -0.38   35
