# Bentz+18 Table 4
# Mbh-M* relation
Object (V-H)gal(mag) log(M*,bulge/Msun)(Bd01) sigma_log(M*,bulge/Msun)(Bd01) log(M*,bulge/Msun)(IP13) sigma_log(M*,bulge/Msun)(IP13) (V-H)gal(mag) log(M*,gal/Msun)(Bd01) sigma_log(M*,gal/Msun)(B01) log(M*,gal/Msun)(IP13) sigma_log(M*,gal/Msun)(IP13) log(Mbh/Msun) sigma_lo_log(Mbh/Msun) sigma_hi_log(Mbh/Msun)
Mrk335 3.22 10.22 0.23 9.99 0.30 2.58 10.17 0.23 9.78 0.30 7.230 0.044 0.042
Mrk1501 2.82 10.82 0.23 10.49 0.30 1.64 10.63 0.23 10.00 0.30 8.067 0.165 0.119
PG0026+129 1.38 10.24 0.23 9.55 0.30 1.38 10.24 0.23 9.55 0.30 8.487 0.119 0.096
Mrk590 3.19 10.42 0.23 10.19 0.30 3.16 11.25 0.23 11.01 0.30 7.570 0.074 0.062
3C120 3.59 10.83 0.23 10.70 0.30 2.86 10.86 0.23 10.54 0.30 7.745 0.040 0.038
Akn120 2.87 10.85 0.23 10.53 0.30 2.66 11.04 0.23 10.68 0.30 8.068 0.063 0.048
Mrk6 3.67 10.93 0.23 10.82 0.30 2.62 10.68 0.23 10.31 0.30 8.102 0.041 0.037
Mrk79 3.25 10.49 0.23 10.27 0.30 2.59 10.69 0.23 10.31 0.30 7.612 0.136 0.107
PG0844+349 3.05 10.58 0.23 10.31 0.30 2.68 10.72 0.23 10.36 0.30 7.858 0.230 0.154
Mrk110 4.12 10.64 0.23 10.64 0.30 3.27 10.68 0.23 10.47 0.30 7.292 0.097 0.101
NGC3227 4.15 10.64 0.23 10.65 0.30 3.12 11.03 0.23 10.78 0.30 6.775 0.112 0.084
NGC3516 3.18 10.53 0.25 10.30 0.32 2.37 10.52 0.25 10.08 0.32 7.395 0.061 0.037
SBS1116+583A 3.00 9.33 0.23 9.05 0.30 2.79 10.38 0.23 10.05 0.30 6.558 0.088 0.081
Arp151 3.27 10.40 0.23 10.19 0.30 3.14 10.44 0.23 10.19 0.30 6.670 0.054 0.045
Mrk1310 3.12 9.96 0.23 9.71 0.30 2.34 9.98 0.23 9.53 0.30 6.212 0.089 0.071
NGC4051 2.70 8.92 0.25 8.56 0.32 1.88 10.13 0.25 9.56 0.32 6.130 0.155 0.121
NGC4151 3.36 9.78 0.25 9.59 0.32 2.59 10.40 0.25 10.01 0.32 7.555 0.047 0.051
Mrk202 3.54 10.04 0.23 9.90 0.30 2.62 10.07 0.23 9.69 0.30 6.133 0.173 0.166
NGC4253 3.43 9.81 0.24 9.64 0.31 2.20 10.18 0.24 9.70 0.31 6.822 0.057 0.050
PG1226+023 1.20 11.11 0.23 10.37 0.30 1.20 11.11 0.23 10.37 0.30 8.839 0.113 0.077
PG1229+204 2.99 11.06 0.23 10.77 0.30 2.76 11.07 0.23 10.73 0.30 7.758 0.219 0.175
NGC4593 3.30 10.68 0.25 10.48 0.32 2.43 10.83 0.25 10.40 0.32 6.882 0.104 0.084
NGC4748 3.60 10.79 0.24 10.66 0.30 2.57 10.46 0.24 10.07 0.30 6.407 0.183 0.110
PG1307+085 1.89 11.11 0.23 10.55 0.30 1.89 11.11 0.23 10.55 0.30 8.537 0.161 0.094
Mrk279 3.86 10.98 0.23 10.92 0.30 3.24 11.07 0.23 10.86 0.30 7.435 0.133 0.099
PG1411+442 2.83 11.01 0.23 10.69 0.30 2.83 11.01 0.23 10.69 0.30 8.539 0.169 0.125
PG1426+015 2.60 10.87 0.23 10.48 0.30 2.42 11.10 0.23 10.67 0.30 9.007 0.164 0.106
Mrk817 4.38 10.84 0.23 10.91 0.30 2.76 10.97 0.23 10.63 0.30 7.586 0.072 0.064
PG1613+658 2.77 11.68 0.23 11.34 0.30 2.77 11.68 0.23 11.34 0.30 8.339 0.271 0.164
PG1617+175 1.87 10.31 0.23 9.74 0.30 1.87 10.31 0.23 9.74 0.30 8.667 0.128 0.084
PG1700+518 1.95 11.23 0.23 10.69 0.30 1.95 11.23 0.23 10.69 0.30 8.786 0.103 0.091
3C390.3 3.03 10.60 0.23 10.33 0.30 2.99 10.94 0.23 10.66 0.30 8.638 0.046 0.040
Zw229-015 2.95 9.94 0.23 9.64 0.30 2.35 10.32 0.23 9.87 0.30 6.913 0.119 0.075
NGC6814 3.27 9.67 0.29 9.45 0.35 2.17 10.34 0.29 9.85 0.35 7.038 0.058 0.056
Mrk509 nan nan nan nan nan 2.71 10.76 0.23 10.40 0.30 8.049 0.035 0.035
PG2130+099 3.98 11.14 0.23 11.11 0.30 3.17 11.16 0.23 10.92 0.30 7.433 0.063 0.055
NGC7469 3.32 9.84 0.23 9.64 0.30 2.42 10.88 0.23 10.45 0.30 6.956 0.050 0.048
