# Graham 2023 (Splitting the lentils...) Black Hole Mass - Stellar Mass relation
# Table 1 (40 lenticular (S0) galaxies and ellicular (ES,b) galaxies)
Galaxy Type log(Mbh/Msun) sigma_log(Mbh/Msun) log(M∗,sph/Msun) sigma_log(M∗,sph/Msun) log(M∗,gal/Msun) sigma_log(M∗,gal/Msun)
NGC0404† S0 5.74 0.10 8.03 0.50 9.19 0.16
NGC1332 ES,b 9.15 0.07 11.15 0.15 11.17 0.14
NGC1374 S0 8.76 0.05 10.30 0.16 10.59 0.13
NGC2549 S0 7.15 0.60 9.67 0.19 10.21 0.17
NGC2778 S0 7.18 0.35 9.49 0.23 10.15 0.17
NGC2787† S0 7.59 0.09 9.37 0.24 10.10 0.19
NGC3115 ES,b 8.94 0.25 10.87 0.14 10.95 0.13
NGC3245 S0 8.30 0.12 10.12 0.17 10.70 0.15
NGC3998 S0 8.33 0.43 10.12 0.26 10.61 0.15
NGC4026 S0 8.26 0.12 10.19 0.22 10.44 0.17
NGC4339 S0 7.62 0.33 9.73 0.21 10.22 0.14
NGC4342† S0 8.65 0.18 10.04 0.15 10.36 0.15
NGC4350 S0 8.87 0.41 10.39 0.25 10.66 0.13
NGC4434 S0 7.85 0.17 9.95 0.20 10.22 0.13
NGC4564 S0 7.77 0.06 10.08 0.16 10.35 0.14
NGC4578 S0 7.28 0.35 9.79 0.15 10.24 0.13
NGC4742 S0 7.13 0.18 9.78 0.16 10.07 0.14
NGC5845 ES,b 8.41 0.22 10.26 0.21 10.46 0.15
NGC6861 ES,b 9.30 0.08 11.07 0.19 11.15 0.18
NGC7457† S0 6.96 0.30 9.34 0.17 10.12 0.15
NGC0524‡ c-S0 9.00 0.10 10.88 0.15 11.38 0.13
NGC1023 S0 7.62 0.05 10.33 0.16 10.89 0.14
NGC1194†‡ m/S0 7.82 0.04 10.78 0.16 11.01 0.14
NGC1316†‡ m/S0 8.16 0.29 11.05 0.35 11.69 0.31
NGC2974 S0 8.23 0.07 10.48 0.22 10.98 0.16
NGC3384 S0 7.23 0.05 10.14 0.16 10.67 0.14
NGC3489 S0 6.76 0.07 9.53 0.20 10.30 0.14
NGC3665 S0 8.76 0.10 11.14 0.16 11.39 0.14
NGC4371 S0 6.84 0.12 9.99 0.30 10.70 0.22
NGC4429 S0 8.18 0.08 10.60 0.20 11.04 0.13
NGC4459 S0 7.82 0.10 10.56 0.21 10.77 0.15
NGC4526 S0 8.65 0.04 10.79 0.26 11.13 0.15
NGC4594 S0 8.81 0.03 11.04 0.25 11.26 0.13
NGC4596 S0 7.90 0.20 10.28 0.20 10.86 0.13
NGC4762 S0 7.24 0.14 9.74 0.15 10.83 0.13
NGC5018†‡ m/S0 8.00 0.08 10.93 0.16 11.31 0.14
NGC5128†‡ m/S0 7.65 0.12 10.71 0.25 11.14 0.12
NGC5252 S0 9.03 0.40 10.97 0.27 11.50 0.15
NGC5813‡ c-S0 8.83 0.06 10.96 0.16 11.34 0.14
NGC7332 S0 7.06 0.20 10.17 0.17 10.79 0.15
