TNG100_z10,,JADES_z10,,Stefanon+21_z10,
X,Y,X,Y,X,Y
16540028.976303637,0.0005642431378422214,26038577.77135971,0.0000036945857702636365,20688399.44739122,0.0011937923304578132
17710605.201715905,0.0005642431378422214,27881388.33271785,0.0000036945857702636365,22152565.475736383,0.0011937923304578132
18964025.822471343,0.0005598038117092853,29854618.873034608,0.0000036945857702636365,23720353.93094021,0.0011937923304578132
20306153.928636868,0.000522935772192118,31967499.51681016,0.0000036945857702636365,25399098.41256737,0.0011855698710071696
21743267.554766458,0.0004813143237867958,34229913.625870496,0.0000036945857702636365,27196651.53603846,0.0011914372545315409
23282089.046485197,0.00043692405991055974,36652444.03048848,0.0000036945857702636365,29121421.66458652,0.0011937923304578132
24929816.505414806,0.0003873395380753332,39246422.53238902,0.0000036945857702636365,31182412.240818802,0.0011937923304578132
26694157.459529057,0.0003423665189192765,42023982.91119592,0.0000036945857702636365,33389263.901864942,0.0011937923304578132
28583364.916438814,0.0003062220052038341,44998117.682268776,0.0000036945857702636365,35752299.57511161,0.0011937923304578132
30606275.96825148,0.00026642500540819926,48182738.87142335,0.0000036945857702636365,38282572.765467025,0.0011937923304578132
32772353.128585972,0.0002250346737489438,51592743.09081984,0.0000036945857702636365,40991919.26002713,0.0011937923304578132
35091728.59510413,0.0001981224452910899,55244081.220422894,0.0000036945857702636365,43872028.61290058,0.001175974120526038
37575251.64460418,0.00019929963605174313,59153833.02097996,0.0000036945857702636365,44719259.91377574,0.002444785377986755
39985201.9779142,0.00016778441370579472,63340287.02753401,0.0000036945857702636365,44719259.91377574,0.0019251744432242724
42549718.42468502,0.00015086332669104785,68089831.86103056,0.0000038216163803643306,44858472.11245659,0.001462098427717242
45561060.717814036,0.0001366794572472196,72225769.20821527,0.000003918250734488695,44858472.11245659,0.000958971470527686
48785522.69168639,0.00012200868484104393,73455415.83912088,0.000002512567027441938,44719259.91377574,0.0007402654514118111
52238187.32057031,0.00010869777074476995,75226840.77870825,0.00001607781198708693,44719259.91377574,0.000522935772192118
56042296.49970773,0.00009448511700189026,75911914.39882752,0.0000031931727757682057,47292499.099045254,0.0011937923304578132
59689441.256155916,0.00008079535093827687,78217231.65516323,0.000004371967190893615,50639498.984292336,0.0011937923304578132
63485518.06927025,0.00007285587907292198,79838650.70966439,0.000017983650827204223,54223373.816841066,0.0011937923304578132
67248527.9924701,0.00006424635161905392,80259252.66114205,0.0000055419347037331515,58060887.786288835,0.0011937923304578132
71444651.31822373,0.00005974754520754518,80342449.42427008,0.00001330925646857411,62169991.522825815,0.0011937923304578132
75679427.05993989,0.000053262406138529525,79473167.68394917,0.000010034962435195112,66569906.06438823,0.0011937923304578132
80248859.12517795,0.00005003966838633767,79473167.68394917,0.000007902146909460894,71281212.76636207,0.0011937923304578132
83752846.61232394,0.00004248806011894754,81189689.16224764,0.000003055068249048169,76325949.57440507,0.0011937923304578132
88643307.02283257,0.000039832811910015924,83934337.09724458,0.000003756239979784471,81727714.11071974,0.0011937923304578132
91935749.81484273,0.00003343047040598738,84728173.02984408,0.0000161302834861386,87511774.05598105,0.0011937923304578132
97306543.1715107,0.000032195171926046444,86251587.1715952,0.0000025487554795736696,93705185.34324902,0.0011937923304578132
100920761.06838931,0.000026883825952415227,89291167.62302975,0.000003852780641782423,98483061.55187683,0.0011937923304578132
107437995.24745256,0.00002922397823660613,94916799.52345073,0.0000037759123978487674,104799434.07433257,0.00002638245497068636
